amfi_code,scheme_name,return_3yr_pct,expense_ratio_pct,sharpe_ratio,alpha,return_rank,sharpe_rank,alpha_rank,expense_rank,max_drawdown,drawdown_rank,fund_score
149322,DSP Top 100 Equity Fund - Regular - Growth,12.82,1.54,0.46403744922047474,0.1317319022609936,25.0,25.0,24.0,30.5,-0.14844576917771746,16.0,27.030162412993036
119093,Axis Bluechip Fund - Direct - Growth,12.14,0.75,0.12961449795668886,0.08232801295222025,29.0,29.0,28.0,8.0,-0.21751396370148224,31.0,21.80974477958236
120844,Kotak Liquid Fund - Regular - Growth,6.18,0.6,-0.08874729621698339,0.0645567749537528,37.0,34.0,32.0,3.0,-0.0011629327956168556,2.0,18.09744779582367
120841,Kotak Bluechip Fund - Regular - Growth,12.25,1.59,0.4942725378672308,0.13042924450705362,28.0,24.0,25.0,35.0,-0.1757361416468729,24.0,16.24129930394433
102886,UTI Mid Cap Fund - Regular - Growth,15.61,1.51,-0.20583160785470483,0.028969397866379254,12.0,36.0,40.0,24.5,-0.2800112356639287,35.0,12.877030162412979
100025,HDFC Short Term Debt Fund - Regular - Growth,7.37,0.56,-0.5670947928477084,0.0428179203150603,36.0,39.0,38.0,2.0,-0.04308263824636349,4.0,7.888631090487252
118636,Nippon India Gilt Securities Fund - Regular - Growth,5.31,0.55,-0.3566295075144002,0.050747729999759995,39.0,38.0,35.0,1.0,-0.08316361763638702,6.0,7.42459396751741
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,6.07,0.77,-0.22657538662794577,0.056208952166382664,38.0,37.0,34.0,9.0,-0.04328728923970093,5.0,5.800464037122964
100016,HDFC Top 100 Fund - Regular Plan - Growth,14.84,1.55,-0.20151706755967008,0.03747580763443287,16.0,35.0,39.0,32.0,-0.24734440880673303,34.0,4.64037122969836
119092,Axis Bluechip Fund - Regular - Growth,11.84,1.64,0.030784850954583803,0.0689952982167752,31.0,31.0,30.0,39.5,-0.1440161790933726,15.0,0.34802784222739547
101208,ABSL Liquid Fund - Regular - Growth,5.14,0.79,-0.8155673679101648,0.060861457957864774,40.0,40.0,33.0,11.0,-0.0016224980244717857,3.0,0.0
